1648226056.679299 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1605:1641, ack 1008, win 471, options [nop,nop,TS val 1011537890 ecr 1903972486], length 36
1648226056.823626 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1641:1677, ack 1044, win 471, options [nop,nop,TS val 1011538034 ecr 1903972646], length 36
1648226057.070734 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1677:1713, ack 1044, win 471, options [nop,nop,TS val 1011538281 ecr 1903972790], length 36
1648226057.328408 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1713:1749, ack 1044, win 471, options [nop,nop,TS val 1011538539 ecr 1903973037], length 36
1648226058.606065 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1044:1080, ack 1749, win 443, options [nop,nop,TS val 1903974573 ecr 1011538539], length 36
1648226059.312002 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1749:1849, ack 1080, win 471, options [nop,nop,TS val 1011540523 ecr 1903974573], length 100
1648226061.789463 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1080:1116, ack 1849, win 443, options [nop,nop,TS val 1903977756 ecr 1011540523], length 36
1648226061.950380 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1116:1152, ack 1849, win 443, options [nop,nop,TS val 1903977917 ecr 1011543089], length 36
1648226062.109424 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1152:1188, ack 1849, win 443, options [nop,nop,TS val 1903978076 ecr 1011543250], length 36
1648226062.246453 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1188:1224, ack 1849, win 443, options [nop,nop,TS val 1903978213 ecr 1011543409], length 36
1648226062.382169 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1224:1260, ack 1849, win 443, options [nop,nop,TS val 1903978349 ecr 1011543546], length 36
1648226062.494299 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1849:1885, ack 1260, win 471, options [nop,nop,TS val 1011543705 ecr 1903978349], length 36
1648226062.655744 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1885:1921, ack 1260, win 471, options [nop,nop,TS val 1011543866 ecr 1903978461], length 36
1648226062.815449 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1921:1957, ack 1260, win 471, options [nop,nop,TS val 1011544026 ecr 1903978622], length 36
1648226062.951356 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1957:1993, ack 1260, win 471, options [nop,nop,TS val 1011544162 ecr 1903978782], length 36
1648226063.087173 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1993:2029, ack 1260, win 471, options [nop,nop,TS val 1011544298 ecr 1903978918], length 36
1648226064.366399 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1260:1296, ack 2029, win 443, options [nop,nop,TS val 1903980333 ecr 1011544298], length 36
1648226065.071895 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 2029:2065, ack 1296, win 471, options [nop,nop,TS val 1011546282 ecr 1903980333], length 36
1648226065.073281 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 2065:2349, ack 1296, win 471, options [nop,nop,TS val 1011546284 ecr 1903980333], length 284
1648226065.073382 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 2349:2569, ack 1296, win 471, options [nop,nop,TS val 1011546284 ecr 1903980333], length 220
1648226065.073552 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 2569:2797, ack 1296, win 471, options [nop,nop,TS val 1011546284 ecr 1903980333], length 228
1648226065.249546 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 2797:4377, ack 1296, win 471, options [nop,nop,TS val 1011546460 ecr 1903981040], length 1580
1648226065.251020 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 4377:7273, ack 1296, win 471, options [nop,nop,TS val 1011546462 ecr 1903981040], length 2896
1648226065.251020 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7273:7493, ack 1296, win 471, options [nop,nop,TS val 1011546462 ecr 1903981040], length 220
1648226067.806103 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1296:1332, ack 7493, win 443, options [nop,nop,TS val 1903983773 ecr 1011546462], length 36
1648226068.110131 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1332:1368, ack 7493, win 443, options [nop,nop,TS val 1903984077 ecr 1011549106], length 36
1648226068.511157 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7493:7529, ack 1368, win 471, options [nop,nop,TS val 1011549722 ecr 1903984077], length 36
1648226068.815250 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7529:7565, ack 1368, win 471, options [nop,nop,TS val 1011550026 ecr 1903984478], length 36
1648226069.213822 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1368:1404, ack 7565, win 443, options [nop,nop,TS val 1903985180 ecr 1011550026], length 36
1648226069.445937 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1404:1440, ack 7565, win 443, options [nop,nop,TS val 1903985412 ecr 1011550514], length 36
1648226069.597915 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1440:1476, ack 7565, win 443, options [nop,nop,TS val 1903985564 ecr 1011550746], length 36
1648226069.877983 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1476:1512, ack 7565, win 443, options [nop,nop,TS val 1903985844 ecr 1011550898], length 36
1648226069.918773 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7565:7601, ack 1476, win 471, options [nop,nop,TS val 1011551129 ecr 1903985564], length 36
1648226070.118188 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1512:1548, ack 7601, win 443, options [nop,nop,TS val 1903986085 ecr 1011551178], length 36
1648226070.151632 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7601:7637, ack 1512, win 471, options [nop,nop,TS val 1011551362 ecr 1903985885], length 36
1648226070.302410 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7637:7673, ack 1548, win 471, options [nop,nop,TS val 1011551513 ecr 1903986118], length 36
1648226070.583259 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7673:7709, ack 1548, win 471, options [nop,nop,TS val 1011551794 ecr 1903986269], length 36
1648226070.823191 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7709:7745, ack 1548, win 471, options [nop,nop,TS val 1011552034 ecr 1903986550], length 36
1648226071.550318 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1548:1584, ack 7745, win 443, options [nop,nop,TS val 1903987517 ecr 1011552034], length 36
1648226071.950304 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1584:1620, ack 7745, win 443, options [nop,nop,TS val 1903987917 ecr 1011552850], length 36
1648226072.095146 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1620:1656, ack 7745, win 443, options [nop,nop,TS val 1903988062 ecr 1011553250], length 36
1648226072.182161 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1656:1692, ack 7745, win 443, options [nop,nop,TS val 1903988149 ecr 1011553250], length 36
1648226072.255419 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7745:7781, ack 1656, win 471, options [nop,nop,TS val 1011553466 ecr 1903988062], length 36
1648226072.317901 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1692:1728, ack 7781, win 443, options [nop,nop,TS val 1903988284 ecr 1011553482], length 36
1648226072.461799 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1728:1764, ack 7781, win 443, options [nop,nop,TS val 1903988428 ecr 1011553618], length 36
1648226072.581799 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1764:1800, ack 7781, win 443, options [nop,nop,TS val 1903988548 ecr 1011553762], length 36
1648226072.655496 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7781:7817, ack 1764, win 471, options [nop,nop,TS val 1011553866 ecr 1903988428], length 36
1648226072.800155 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7817:7853, ack 1800, win 471, options [nop,nop,TS val 1011554011 ecr 1903988622], length 36
1648226072.886971 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7853:7889, ack 1800, win 471, options [nop,nop,TS val 1011554098 ecr 1903988622], length 36
1648226073.023023 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7889:7925, ack 1800, win 471, options [nop,nop,TS val 1011554234 ecr 1903988853], length 36
1648226073.166879 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7925:7961, ack 1800, win 471, options [nop,nop,TS val 1011554377 ecr 1903988989], length 36
1648226073.286705 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7961:7997, ack 1800, win 471, options [nop,nop,TS val 1011554497 ecr 1903989133], length 36
1648226074.622391 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1800:1836, ack 7997, win 443, options [nop,nop,TS val 1903990589 ecr 1011554497], length 36
1648226074.885926 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1836:1872, ack 7997, win 443, options [nop,nop,TS val 1903990852 ecr 1011555922], length 36
1648226075.254281 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1872:1908, ack 7997, win 443, options [nop,nop,TS val 1903991221 ecr 1011556186], length 36
1648226075.327529 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 7997:8033, ack 1872, win 471, options [nop,nop,TS val 1011556538 ecr 1903990852], length 36
1648226075.454316 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1908:1944, ack 8033, win 443, options [nop,nop,TS val 1903991421 ecr 1011556554], length 36
1648226075.566132 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1944:1980, ack 8033, win 443, options [nop,nop,TS val 1903991533 ecr 1011556754], length 36
1648226075.591177 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8033:8069, ack 1944, win 471, options [nop,nop,TS val 1011556802 ecr 1903991421], length 36
1648226075.959290 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8069:8105, ack 1980, win 471, options [nop,nop,TS val 1011557170 ecr 1903991558], length 36
1648226076.159449 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8105:8141, ack 1980, win 471, options [nop,nop,TS val 1011557370 ecr 1903991926], length 36
1648226076.205912 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1980:2016, ack 8141, win 443, options [nop,nop,TS val 1903992172 ecr 1011557370], length 36
1648226076.271539 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8141:8177, ack 1980, win 471, options [nop,nop,TS val 1011557482 ecr 1903992126], length 36
1648226076.742157 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2016:2052, ack 8177, win 443, options [nop,nop,TS val 1903992709 ecr 1011557506], length 36
1648226076.911123 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8177:8213, ack 2052, win 471, options [nop,nop,TS val 1011558122 ecr 1903992709], length 36
1648226076.926090 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2052:2088, ack 8213, win 443, options [nop,nop,TS val 1903992893 ecr 1011558122], length 36
1648226076.957824 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2088:2124, ack 8213, win 443, options [nop,nop,TS val 1903992924 ecr 1011558122], length 36
1648226077.118102 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2124:2160, ack 8213, win 443, options [nop,nop,TS val 1903993085 ecr 1011558258], length 36
1648226077.246122 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2160:2196, ack 8213, win 443, options [nop,nop,TS val 1903993213 ecr 1011558418], length 36
1648226077.350095 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2196:2232, ack 8213, win 443, options [nop,nop,TS val 1903993317 ecr 1011558546], length 36
1648226077.446852 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8213:8249, ack 2232, win 471, options [nop,nop,TS val 1011558657 ecr 1903993317], length 36
1648226077.631137 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8249:8285, ack 2232, win 471, options [nop,nop,TS val 1011558842 ecr 1903993413], length 36
1648226077.662454 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8285:8321, ack 2232, win 471, options [nop,nop,TS val 1011558873 ecr 1903993413], length 36
1648226077.789934 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2232:2268, ack 8321, win 443, options [nop,nop,TS val 1903993756 ecr 1011558873], length 36
1648226077.823092 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8321:8357, ack 2232, win 471, options [nop,nop,TS val 1011559034 ecr 1903993629], length 36
1648226077.951037 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8357:8393, ack 2268, win 471, options [nop,nop,TS val 1011559162 ecr 1903993756], length 36
1648226078.055431 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8393:8429, ack 2268, win 471, options [nop,nop,TS val 1011559266 ecr 1903993917], length 36
1648226078.069522 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2268:2304, ack 8429, win 443, options [nop,nop,TS val 1903994036 ecr 1011559266], length 36
1648226078.174180 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2304:2340, ack 8429, win 443, options [nop,nop,TS val 1903994141 ecr 1011559369], length 36
1648226078.269996 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 2340:2376, ack 8429, win 443, options [nop,nop,TS val 1903994236 ecr 1011559474], length 36
1648226078.494899 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8429:8465, ack 2376, win 471, options [nop,nop,TS val 1011559706 ecr 1903994236], length 36
1648226078.774812 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8465:8501, ack 2376, win 471, options [nop,nop,TS val 1011559985 ecr 1903994461], length 36
1648226078.879021 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8501:8537, ack 2376, win 471, options [nop,nop,TS val 1011560090 ecr 1903994741], length 36
1648226078.974930 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 8537:8573, ack 2376, win 471, options [nop,nop,TS val 1011560186 ecr 1903994845], length 36
